Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
361	45	11	27
362	8	25	43
363	26	43	8
364	27	43	11
365	39	5	23
366	9	25	43
367	42	7	25
368	27	43	9
369	3	20	38
370	3	21	37
371	9	27	43
372	23	39	7
373	23	39	5
374	39	5	23
375	9	25	43
376	43	10	26
377	41	7	25
378	42	7	25
379	22	42	3
380	37	3	21
381	25	43	9
382	25	41	6
383	43	9	27
384	39	5	23
385	25	43	9
386	5	21	39
387	45	11	27
388	7	23	41
389	43	9	27
390	41	7	25
391	9	27	43
392	43	8	27
393	43	10	27
394	41	6	24
395	43	8	25
396	25	43	9
397	21	39	4
398	25	41	7
399	25	41	9
400	21	38	3
401	25	41	9
402	27	43	9
403	3	21	37
404	4	21	39
405	5	22	40
406	23	39	7
407	25	42	7
408	19	37	3
409	5	23	39
410	21	39	5
411	9	27	45
412	37	5	21
413	25	41	8
414	3	19	37
415	7	23	41
416	39	5	21
417	43	9	27
418	27	49	10
419	37	3	21
420	24	43	8
421	5	21	39
422	7	23	41
423	43	10	27
424	43	9	27
425	3	20	38
426	7	25	41
427	43	9	27
428	43	9	25
429	27	43	11
430	7	23	41
431	38	3	21
432	27	43	10
433	8	25	43
434	23	41	6
435	23	39	5
436	7	23	41
437	41	7	23
438	38	3	21
439	43	9	27
440	43	9	27
441	11	27	45
442	39	5	23
443	19	37	3
444	23	39	7
445	21	37	5
446	41	6	25
447	37	3	21
448	39	7	23
449	23	39	6
450	37	3	21
451	22	38	5
452	20	38	3
453	21	39	4
454	37	5	21
455	27	43	9
456	41	7	25
457	22	38	3
458	22	40	5
459	43	8	27
460	41	8	25
461	43	8	24
462	38	3	21
463	43	8	26
464	43	11	27
465	21	38	3
466	19	37	3
467	27	43	11
468	6	23	41
469	39	5	23
470	3	19	37
471	37	5	21
472	6	23	41
473	21	37	3
474	41	8	25
475	38	3	21
476	41	7	23
477	26	43	8
478	41	7	25
479	43	9	27
480	7	23	42
481	7	25	41
482	19	37	3
483	23	41	6
484	8	24	43
485	23	39	7
486	23	39	7
487	39	5	21
488	37	3	21
489	7	25	41
490	9	27	43
491	39	5	23
492	25	43	9
493	25	41	9
494	43	8	25
495	26	43	10
496	21	37	3
497	39	7	23
498	39	7	23
499	39	5	23
500	42	7	25
501	39	5	23
502	41	7	25
503	3	21	39
504	43	8	26
505	3	19	37
506	7	23	41
507	38	3	21
508	28	46	8
509	39	5	23
510	21	38	3
511	37	3	21
512	41	7	25
513	23	41	7
514	41	7	23
515	43	9	27
516	4	23	39
517	39	5	23
518	25	43	8
519	43	10	27
520	37	3	21
521	5	23	39
522	5	23	39
523	7	23	41
524	9	25	43
525	7	23	41
526	27	43	11
527	43	11	27
528	25	42	9
529	4	21	39
530	43	10	27
531	7	25	41
532	43	8	27
533	7	25	41
534	41	6	24
535	7	23	41
536	5	21	39
537	26	43	10
538	38	3	21
539	6	23	41
540	39	5	23
541	9	25	43
542	9	25	43
543	5	23	40
544	37	3	21
545	41	6	23
546	43	9	25
547	3	21	38
548	8	26	44
549	3	19	37
550	25	43	9
551	7	25	41
552	9	25	43
553	37	3	21
554	21	39	4
555	25	43	8
556	4	23	39
557	21	39	5
558	41	7	25
559	38	3	21
560	38	3	21
561	23	39	5
562	41	6	24
563	21	40	5
564	23	41	7
565	3	21	38
566	40	5	23
567	23	40	5
568	41	7	25
569	3	21	38
570	43	11	27
571	5	23	39
572	38	3	21
573	23	39	5
574	5	23	39
575	21	37	3
576	43	9	27
577	9	25	43
578	40	5	23
579	20	38	3
580	37	3	21
581	21	37	5
582	23	40	7
583	5	22	40
584	6	23	41
585	37	3	21
586	21	38	5
587	8	25	43
588	25	41	7
589	43	9	27
590	20	38	3
591	23	41	7
592	3	21	38
593	25	41	9
594	7	23	42
595	45	11	27
596	43	9	27
597	25	41	9
598	25	43	9
599	22	40	5
600	24	43	8
601	41	7	25
602	4	23	39
603	21	38	3
604	41	7	23
605	21	37	5
606	23	39	5
607	4	23	41
608	7	25	41
609	39	5	23
610	37	3	21
611	27	43	9
612	43	9	27
613	22	38	5
614	43	10	26
615	7	25	41
616	27	43	10
617	5	21	40
618	37	3	21
619	39	5	23
620	38	5	22
621	10	27	45
622	27	43	11
623	4	21	39
624	26	43	8
625	43	9	25
626	43	9	25
627	41	7	25
628	23	39	6
629	21	38	5
630	41	7	25
631	38	5	21
632	41	6	25
633	19	38	3
634	19	37	3
635	9	27	43
636	23	39	5
637	5	23	40
638	3	22	40
639	8	25	43
640	7	23	41
641	38	3	21
642	22	38	3
643	42	7	25
644	43	8	27
645	5	23	39
646	7	23	41
647	37	3	21
648	19	37	3
649	25	41	8
650	41	7	25
651	41	7	23
652	24	43	8
653	27	43	8
654	7	23	42
655	21	40	5
656	43	8	25
657	19	37	3
658	23	40	7
659	7	25	41
660	3	21	38
661	27	43	11
662	8	27	43
663	5	23	39
664	41	9	25
665	3	21	39
666	40	5	23
667	40	5	23
668	7	23	41
669	27	43	11
670	9	27	45
671	38	3	21
672	38	3	21
673	41	7	25
674	5	23	41
675	43	10	26
676	27	43	11
677	6	24	41
678	23	39	7
679	41	6	24
680	43	9	27
681	23	42	7
682	25	41	9
683	9	27	45
684	23	40	7
685	27	43	7
686	41	7	23
687	9	25	43
688	25	41	9
689	39	5	23
690	21	37	4
691	7	23	47
692	3	20	38
693	41	6	23
694	6	25	41
695	43	9	25
696	9	27	43
697	22	38	5
698	3	19	38
699	23	39	5
700	43	11	27
701	7	25	43
702	23	39	6
703	39	5	21
704	19	37	3
705	39	5	23
706	21	39	5
707	23	39	6
708	41	7	25
709	5	23	41
710	21	39	5
711	9	27	43
712	43	9	27
713	7	25	43
714	6	23	41
715	20	38	3
716	5	21	39
717	42	7	25
718	39	5	23
719	37	3	21
720	25	41	9
721	3	21	37
722	43	9	27
723	37	3	21
724	7	23	41
725	21	38	5
726	25	43	9
727	9	25	43
728	27	49	9
729	5	21	39
730	11	27	45
731	21	39	5
732	27	43	11
733	25	41	9
734	41	6	25
735	27	43	11
736	37	3	21
737	5	21	43
738	20	38	3
739	9	25	43
740	21	39	5
741	7	25	42
742	8	25	43
743	9	27	43
744	5	23	41
745	25	41	9
746	43	9	27
747	41	7	25
748	5	21	39
749	22	38	5
750	41	7	25
751	39	6	23
752	37	3	21
753	21	39	5
754	39	4	23
755	25	43	9
756	42	7	23
757	3	21	40
758	19	37	3
759	43	8	27
760	39	4	21
761	5	23	39
762	9	27	43
763	23	39	6
764	23	39	7
765	25	43	9
766	23	41	7
767	5	21	39
768	39	5	23
769	40	7	23
770	5	23	40
771	40	5	23
772	9	25	43
773	3	19	37
774	21	37	5
775	42	7	23
776	23	39	4
777	39	5	23
778	41	6	25
779	24	43	8
780	7	23	42
781	39	5	23
782	39	4	23
783	5	21	39
784	41	7	23
785	27	43	11
786	24	41	8
787	43	9	25
788	37	3	21
789	27	43	11
790	3	21	37
791	21	37	3
792	43	8	27
793	8	26	43
794	5	21	39
795	41	6	24
796	3	21	39
797	7	25	41
798	8	25	43
799	41	7	25
800	43	9	25
801	41	6	24
802	27	43	11
803	21	39	5
804	43	8	25
805	37	3	21
806	43	9	27
807	38	3	21
808	38	3	22
809	5	21	40
810	23	39	7
811	25	43	9
812	21	39	5
813	43	9	27
814	27	43	9
815	7	23	41
816	39	4	23
817	19	37	3
818	43	8	25
819	41	6	24
820	21	37	4
821	9	25	43
822	27	43	10
823	21	39	5
824	10	26	44
825	27	43	9
826	7	23	41
827	25	43	9
828	21	37	3
829	9	25	43
830	25	43	9
831	21	39	5
832	38	3	21
833	41	7	25
834	41	6	25
835	21	39	5
836	41	6	24
837	39	7	23
838	23	39	7
839	25	41	8
840	41	7	23
841	39	5	21
842	27	43	9
843	23	39	7
844	37	3	21
845	8	25	43
846	23	40	7
847	23	40	5
848	43	9	27
849	42	7	25
850	19	37	3
851	37	3	21
852	45	7	29
853	43	9	27
854	23	39	7
855	9	27	43
856	25	43	8
857	20	38	3
858	40	5	23
859	5	23	39
860	43	9	27
861	39	7	23
862	41	7	25
863	25	41	9
864	21	39	5
865	28	45	10
866	10	27	45
867	43	9	27
868	23	39	7
869	23	41	7
870	7	23	41
871	3	19	37
872	24	41	6
873	21	37	5
874	39	5	21
875	25	41	6
876	25	43	9
877	38	3	21
878	8	26	43
879	45	11	27
880	7	23	41
881	38	3	21
882	4	23	39
883	3	19	37
884	27	43	9
885	25	41	7
886	9	25	43
887	39	5	23
888	41	6	24
889	41	9	25
890	23	39	7
891	5	21	40
892	41	7	25
893	38	3	22
894	38	3	21
895	25	43	9
896	37	5	21
897	25	41	7
898	39	5	23
899	37	3	21
900	37	3	21
901	19	37	3
902	37	3	21
903	39	5	23
904	43	11	27
905	37	3	21
906	5	21	39
907	3	21	38
908	26	43	10
909	42	7	25
910	3	21	37
911	41	7	25
912	21	39	5
913	7	23	41
914	3	21	37
915	41	7	25
916	39	7	23
917	8	25	43
918	41	6	25
919	25	41	9
920	43	9	25
921	39	5	21
922	23	39	5
923	24	41	8
924	40	5	23
925	37	3	21
926	4	23	41
927	41	6	24
928	25	43	9
929	9	25	43
930	41	8	25
931	21	39	5
932	4	23	39
933	21	37	4
934	41	7	23
935	41	7	23
936	9	25	43
937	5	23	40
938	7	25	41
939	21	37	3
940	3	21	37
941	19	37	3
942	8	26	44
943	5	21	40
944	23	39	4
945	9	25	43
946	7	25	43
947	8	25	43
948	21	39	5
949	45	11	27
950	25	42	9
951	40	5	23
952	43	9	27
953	23	39	6
954	9	27	43
955	23	40	7
956	40	5	23
957	27	43	11
958	5	21	39
959	7	25	43
960	19	37	3
961	41	6	25
962	40	5	21
963	27	43	9
964	25	41	7
965	3	19	37
966	43	9	25
967	43	8	27
968	49	5	21
969	8	26	43
970	7	25	42
971	5	23	40
972	24	41	8
973	9	27	43
974	26	43	10
975	40	5	23
976	43	8	27
977	7	25	41
978	8	24	43
979	37	3	21
980	5	22	40
981	39	5	23
982	9	27	43
983	41	6	24
984	4	21	39
985	3	21	37
986	43	9	27
987	25	41	7
988	21	39	5
989	48	8	26
990	3	21	37
991	7	23	41
992	21	37	4
993	37	3	21
994	41	6	24
995	25	42	7
996	27	43	11
997	21	37	5
998	23	39	6
999	38	3	22

