Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
122	26	43	10
123	40	5	21
124	23	40	7
125	7	23	42
126	21	37	5
127	3	21	37
128	3	21	37
129	23	41	7
130	3	20	38
131	5	22	40
132	21	39	5
133	27	43	11
134	8	24	43
135	39	4	23
136	40	5	23
137	23	40	5
138	5	22	40
139	23	39	5
140	38	3	21
141	23	40	5
142	43	9	27
143	6	23	41
144	37	4	21
145	4	21	39
146	38	3	21
147	43	9	27
148	41	9	25
149	9	27	43
150	5	23	41
151	21	39	5
152	23	41	7
153	38	3	21
154	39	5	23
155	21	37	3
156	9	25	43
157	21	37	5
158	5	21	39
159	21	38	5
160	5	23	39
161	25	41	9
162	38	3	21
163	5	23	41
164	43	9	27
165	5	23	39
166	23	39	7
167	41	8	24
168	22	40	5
169	25	41	6
170	43	9	25
171	4	21	39
172	9	25	43
173	40	5	21
174	7	23	41
175	43	9	25
176	39	5	23
177	39	5	23
178	7	25	43
179	3	21	40
180	5	23	39
181	8	25	43
182	5	23	39
183	39	5	23
184	39	5	21
185	27	43	9
186	9	27	45
187	25	41	9
188	43	8	24
189	45	10	27
190	5	21	39
191	41	7	25
192	40	5	23
193	23	40	7
194	9	27	43
195	43	9	27
196	37	3	21
197	25	43	9
198	11	27	45
199	41	6	25
200	43	8	27
201	44	8	28
202	21	40	5
203	7	25	43
204	8	26	45
205	9	25	43
206	8	26	43
207	23	41	7
208	41	7	25
209	42	7	23
210	19	37	3
211	39	5	21
212	8	27	43
213	38	3	21
214	8	26	45
215	40	5	21
216	23	41	7
217	27	43	11
218	9	27	45
219	23	41	7
220	23	39	6
221	7	23	41
222	22	38	3
223	3	21	39
224	39	5	21
225	9	25	43
226	39	6	23
227	21	43	5
228	39	4	23
229	43	9	27
230	42	7	23
231	21	37	3
232	39	5	23
233	25	43	8
234	27	43	11
235	41	7	23
236	39	4	21
237	23	41	6
238	43	8	26
239	43	9	25
240	43	9	25
241	41	7	25
242	25	43	9
243	43	8	25
244	41	6	24
245	9	25	43
246	5	23	41
247	41	8	25
248	41	7	25
249	5	21	40
250	25	43	9
251	5	21	39
252	41	7	25
253	7	23	42
254	5	21	39
255	24	43	8
256	5	22	40
257	7	25	41
258	25	43	9
259	26	43	10
260	23	41	6
261	39	5	23
262	5	21	39
263	43	8	26
264	38	3	22
265	9	25	43
266	5	23	40
267	39	5	23
268	23	41	6
269	43	9	27
270	5	21	39
271	7	23	41
272	8	24	43
273	25	43	8
274	7	25	43
275	26	45	10
276	5	21	39
277	9	27	43
278	39	5	23
279	5	23	41
280	25	41	8
281	5	21	40
282	41	7	25
283	39	4	23
284	5	23	41
285	25	42	7
286	7	25	43
287	23	41	7
288	25	42	7
289	26	45	6
290	37	4	21
291	27	45	11
292	39	5	23
293	8	24	43
294	39	4	23
295	43	9	27
296	43	9	27
297	6	23	41
298	27	43	10
299	39	5	23
300	21	37	3
301	23	41	7
302	5	23	40
303	5	22	40
304	41	7	25
305	9	25	43
306	43	9	27
307	5	21	39
308	27	43	11
309	23	39	4
310	41	6	23
311	41	8	25
312	42	7	25
313	23	39	6
314	37	3	21
315	27	43	11
316	6	23	41
317	45	7	25
318	41	7	23
319	7	23	41
320	6	25	41
321	19	37	3
322	23	40	5
323	21	39	5
324	6	25	41
325	23	39	7
326	3	21	39
327	45	11	27
328	43	9	27
329	37	3	21
330	3	19	37
331	41	6	23
332	37	3	21
333	39	5	23
334	25	43	9
335	39	7	23
336	3	21	37
337	7	23	41
338	23	41	6
339	43	8	26
340	38	3	22
341	9	25	43
342	37	3	21
343	21	38	5
344	3	22	38
345	37	3	21
346	23	41	7
347	40	7	23
348	23	39	7
349	10	26	44
350	9	25	43
351	41	7	25
352	24	43	8
353	5	23	39
354	9	25	43
355	7	25	42
356	27	43	10
357	9	27	45
358	9	25	43
359	5	23	42
360	7	23	41
361	43	9	27
362	39	5	23
363	43	8	27
364	43	9	25
365	43	9	27
366	27	43	10
367	25	43	9
368	23	39	5
369	25	41	6
370	39	5	23
371	23	40	7
372	19	37	3
373	8	26	45
374	7	25	42
375	22	40	5
376	24	43	8
377	39	5	23
378	9	25	43
379	6	23	41
380	41	7	25
381	25	42	7
382	21	37	3
383	39	5	23
384	43	9	27
385	6	24	41
386	43	8	26
387	23	41	7
388	6	25	41
389	8	26	45
390	43	9	27
391	71	3	21
392	26	43	8
393	27	45	11
394	26	43	10
395	21	39	5
396	5	23	41
397	25	43	9
398	23	39	6
399	23	39	7
400	44	6	28
401	37	5	21
402	43	9	27
403	3	21	38
404	9	25	43
405	41	7	25
406	9	25	43
407	43	8	27
408	20	38	3
409	39	5	23
410	41	7	25
411	25	43	8
412	23	39	6
413	5	21	39
414	5	21	39
415	47	13	31
416	3	21	38
417	39	4	21
418	5	23	39
419	45	8	26
420	27	43	10
421	6	24	41
422	43	8	27
423	9	27	43
424	25	43	9
425	38	3	21
426	45	10	27
427	23	41	7
428	19	37	3
429	23	41	6
430	23	39	5
431	43	8	26
432	45	11	27
433	27	45	10
434	21	37	5
435	7	23	41
436	25	42	7
437	4	23	41
438	43	10	27
439	9	27	43
440	38	3	22
441	43	9	27
442	24	43	8
443	38	5	22
444	21	39	5
445	41	7	25
446	42	7	25
447	9	27	43
448	43	9	27
449	27	43	8
450	23	41	6
451	7	25	41
452	42	7	25
453	40	5	23
454	5	23	39
455	43	9	27
456	39	5	23
457	38	3	21
458	45	11	27
459	39	5	21
460	21	37	3
461	3	20	38
462	27	43	9
463	7	25	43
464	27	43	11
465	3	21	37
466	43	8	26
467	37	3	21
468	42	7	25
469	21	40	5
470	6	23	41
471	25	43	9
472	25	41	8
473	3	21	38
474	25	42	9
475	7	25	41
476	25	43	9
477	5	23	39
478	41	7	25
479	9	27	45
480	5	23	39
481	40	5	22
482	6	23	41
483	41	6	23
484	3	21	39
485	3	21	37
486	5	21	39
487	5	23	39
488	25	41	7
489	5	23	39
490	39	5	23
491	7	23	41
492	43	7	23
493	26	43	8
494	25	41	7
495	41	7	25
496	5	23	41
497	3	21	39
498	8	26	44
499	39	5	21
500	43	8	24
501	3	19	37
502	43	9	27
503	27	43	9
504	23	41	7
505	21	37	4
506	21	39	5
507	39	5	23
508	24	41	8
509	39	7	23
510	23	41	7
511	37	3	21
512	43	9	25
513	3	19	37
514	5	21	39
515	39	5	23
516	3	21	38
517	43	11	27
518	5	23	39
519	41	7	25
520	7	23	41
521	37	3	21
522	7	23	41
523	5	21	39
524	43	9	25
525	43	8	27
526	23	41	7
527	20	38	3
528	5	22	40
529	3	19	37
530	7	25	43
531	7	23	41
532	7	25	43
533	8	24	43
534	6	25	43
535	27	45	10
536	27	45	11
537	43	9	27
538	43	11	27
539	25	41	7
540	25	43	9
541	37	3	21
542	41	7	25
543	6	25	41
544	8	25	43
545	24	43	8
546	26	43	10
547	41	6	24
548	43	9	25
549	25	41	9
550	3	19	37
551	43	8	27
552	25	41	8
553	6	23	41
554	41	6	25
555	27	43	9
556	39	5	23
557	11	27	45
558	25	41	9
559	19	37	3
560	5	21	39
561	26	43	10
562	41	6	23
563	8	27	43
564	43	9	27
565	27	43	11
566	23	41	6
567	3	21	39
568	4	21	39
569	26	43	10
570	27	43	9
571	8	25	43
572	41	7	25
573	42	7	25
574	19	37	3
575	41	6	23
576	39	5	23
577	43	8	26
578	38	3	22
579	41	6	24
580	25	43	9
581	41	7	25
582	3	21	37
583	25	43	9
584	4	21	39
585	25	42	9
586	21	39	5
587	37	3	21
588	43	9	27
589	20	38	3
590	39	5	23
591	23	41	7
592	22	38	3
593	3	21	37
594	45	10	27
595	41	7	25
596	3	21	39
597	21	39	5
598	21	39	5
599	5	21	39
600	38	3	21
601	43	9	27
602	25	43	9
603	23	41	7
604	23	41	7
605	4	21	39
606	42	7	25
607	7	25	43
608	7	23	42
609	5	23	41
610	3	21	37
611	3	21	39
612	25	43	9
613	23	42	7
614	39	5	23
615	23	41	7
616	39	5	23
617	10	27	45
618	39	5	23
619	38	3	21
620	23	41	7
621	42	7	23
622	38	3	21
623	7	25	43
624	43	9	27
625	3	21	39
626	38	3	21
627	6	23	41
628	8	26	43
629	25	41	9
630	25	43	9
631	23	39	7
632	37	3	21
633	41	6	25
634	27	43	11
635	37	3	21
636	25	41	6
637	3	21	37
638	39	5	23
639	24	43	8
640	7	23	41
641	5	21	39
642	7	23	41
643	11	27	45
644	41	6	25
645	8	24	43
646	5	21	39
647	40	5	23
648	23	39	7
649	7	23	41
650	37	4	21
651	21	38	5
652	43	9	27
653	27	43	9
654	3	21	40
655	22	38	3
656	4	23	41
657	7	23	41
658	6	24	43
659	23	40	7
660	38	3	22
661	43	9	27
662	43	9	27
663	21	39	5
664	43	8	27
665	5	21	40
666	8	25	43
667	21	37	3
668	39	7	23
669	43	9	27
670	7	23	41
671	9	25	43
672	25	43	9
673	5	23	39
674	6	24	43
675	6	23	41
676	25	41	7
677	6	25	41
678	43	9	27
679	25	42	7
680	43	10	26
681	25	43	8
682	25	43	9
683	5	21	39
684	37	3	21
685	43	9	27
686	9	25	43
687	21	39	5
688	3	19	37
689	10	26	45
690	23	40	7
691	8	26	44
692	5	23	40
693	6	25	41
694	23	41	7
695	38	3	22
696	41	7	25
697	38	3	22
698	41	6	25
699	41	7	25
700	66	85	9
701	5	23	41
702	7	25	41
703	23	39	5
704	3	21	37
705	3	21	39
706	3	21	37
707	9	25	43
708	41	7	25
709	43	8	27
710	45	11	27
711	38	3	21
712	21	39	5
713	39	5	23
714	38	3	22
715	8	27	43
716	39	5	23
717	5	21	39
718	5	21	39
719	23	41	6
720	39	5	23
721	24	41	8
722	25	43	9
723	40	5	23
724	8	25	43
725	7	23	41
726	43	11	27
727	43	8	26
728	39	5	23
729	3	20	38
730	40	5	23
731	39	5	23
732	5	21	39
733	25	41	9
734	41	7	25
735	43	8	26
736	42	7	25
737	41	6	24
738	25	43	8
739	27	43	9
740	39	5	21
741	25	43	9
742	23	39	7
743	41	7	25
744	43	8	26
745	23	41	6
746	38	3	21
747	8	26	43
748	23	39	5
749	25	41	7
750	38	3	21
751	40	5	23
752	9	27	45
753	9	27	45
754	24	43	8
755	9	25	43
756	25	41	8
757	43	8	27
758	23	41	7
759	25	42	7
760	7	25	41
761	41	7	25
762	41	7	25
763	27	43	10
764	43	8	24
765	25	41	8
766	41	6	24
767	5	25	43
768	7	25	41
769	39	4	23
770	38	3	22
771	25	41	8
772	25	43	9
773	43	9	27
774	37	3	21
775	42	7	25
776	20	38	3
777	37	3	21
778	43	8	27
779	5	21	39
780	41	7	25
781	39	5	23
782	43	9	27
783	8	25	43
784	21	37	3
785	43	9	27
786	5	23	40
787	21	39	5
788	21	37	3
789	41	7	25
790	26	43	10
791	41	7	25
792	39	5	23
793	25	43	9
794	7	25	41
795	5	23	39
796	4	23	39
797	43	9	27
798	7	25	43
799	3	22	38
800	21	39	5
801	25	41	9
802	43	9	27
803	25	41	7
804	39	5	23
805	25	42	7
806	9	25	43
807	3	21	37
808	24	43	8
809	38	3	22
810	27	43	11
811	37	3	21
812	9	27	45
813	8	25	43
814	43	9	27
815	25	43	8
816	39	5	23
817	41	6	23
818	9	27	43
819	21	37	3
820	9	25	43
821	9	25	43
822	9	27	43
823	21	37	5
824	10	26	44
825	23	40	5
826	4	21	39
827	39	6	23
828	3	21	38
829	39	4	21
830	3	21	39
831	21	39	5
832	19	37	3
833	3	21	37
834	7	23	41
835	7	25	41
836	23	39	7
837	27	43	8
838	43	10	26
839	9	27	43
840	6	23	41
841	22	40	5
842	37	3	21
843	27	43	5
844	43	9	25
845	21	37	3
846	5	21	39
847	38	3	22
848	5	23	39
849	25	43	8
850	43	8	26
851	25	41	6
852	6	25	41
853	19	37	3
854	8	26	43
855	5	23	43
856	43	9	27
857	27	43	11
858	6	23	41
859	11	27	45
860	20	38	3
861	5	23	39
862	9	27	45
863	25	41	7
864	43	8	27
865	25	43	9
866	40	7	23
867	3	21	39
868	39	5	23
869	9	25	43
870	25	43	9
871	25	41	9
872	41	7	23
873	23	41	7
874	7	23	41
875	41	7	23
876	5	22	40
877	41	7	25
878	41	6	25
879	23	41	6
880	39	4	23
881	21	37	3
882	40	5	23
883	39	5	23
884	25	41	9
885	10	26	44
886	43	8	26
887	39	7	23
888	9	27	43
889	23	41	6
890	5	23	41
891	39	5	23
892	40	5	23
893	41	7	25
894	37	3	21
895	23	42	7
896	3	22	38
897	21	37	5
898	41	6	23
899	27	45	10
900	43	9	25
901	9	25	43
902	45	10	27
903	43	8	26
904	41	7	25
905	41	7	25
906	45	11	27
907	38	3	21
908	39	5	23
909	27	43	11
910	21	37	3
911	21	39	5
912	25	41	7
913	37	3	21
914	21	39	5
915	39	6	23
916	9	25	43
917	40	5	23
918	37	3	21
919	7	25	41
920	27	43	11
921	23	40	7
922	25	41	8
923	43	9	25
924	21	37	4
925	5	21	39
926	41	6	25
927	45	10	27
928	43	10	26
929	39	5	23
930	5	22	40
931	3	21	37
932	23	39	4
933	43	8	26
934	5	22	40
935	41	6	23
936	9	25	43
937	21	37	5
938	23	39	7
939	37	3	21
940	7	23	41
941	39	4	23
942	3	21	40
943	5	23	41
944	41	9	25
945	7	25	41
946	25	43	9
947	21	40	5
948	39	5	23
949	25	43	9
950	43	8	24
951	3	21	37
952	8	26	44
953	23	41	7
954	39	5	21
955	23	41	7
956	21	38	5
957	41	6	25
958	21	37	5
959	23	41	6
960	23	39	5
961	8	27	43
962	8	26	43
963	11	27	45
964	3	21	39
965	41	7	25
966	41	6	25
967	24	43	8
968	39	5	23
969	25	41	7
970	37	3	21
971	21	37	3
972	41	6	24
973	10	26	44
974	43	9	27
975	25	43	9
976	11	27	45
977	7	23	41
978	26	43	8
979	45	7	29
980	43	11	27
981	38	3	21
982	23	41	6
983	25	43	9
984	21	40	5
985	3	22	40
986	37	3	21
987	5	23	41
988	5	23	41
989	21	39	5
990	21	37	4
991	7	25	43
992	21	38	5
993	3	21	39
994	21	39	5
995	38	3	21
996	5	21	40
997	38	3	22
998	38	3	21
999	23	41	7

