Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
134	976	993	1009
135	13	29	45
136	584	601	617
137	750	766	784
138	328	344	360
139	363	379	395
140	891	910	926
141	125	143	159
142	811	828	844
143	280	296	313
144	530	546	563
145	962	980	996
146	775	792	808
147	577	593	610
148	720	736	754
149	294	310	326
150	179	195	213
151	10	27	43
152	321	338	354
153	586	602	620
154	667	683	699
155	194	212	229
156	436	453	469
157	441	458	476
158	768	784	802
159	740	756	772
160	249	265	282
161	558	574	591
162	913	929	945
163	369	385	401
164	307	323	340
165	920	936	954
166	169	186	204
167	245	261	279
168	104	120	138
169	952	968	986
170	606	625	641
171	815	831	847
172	498	516	532
173	755	771	789
174	242	258	274
175	19	36	52
176	82	100	116
177	130	146	163
178	540	556	574
179	138	155	176
180	555	571	587
181	933	949	967
182	5	22	38
183	249	265	287
184	916	932	950
185	577	593	617
186	413	433	451
187	405	423	439
188	610	627	643
189	119	135	151
190	916	932	948
191	401	417	435
192	565	581	600
193	162	178	195
194	635	651	669
195	460	477	493
196	261	278	294
197	33	49	66
198	537	554	570
199	477	495	513
200	867	884	900
201	914	930	947
202	20	36	54
203	485	501	517
204	549	567	583
205	886	902	920
206	187	203	221
207	545	561	577
208	756	773	789
209	419	435	452
210	220	236	253
211	283	299	315
212	522	538	557
213	625	642	658
214	884	900	918
215	118	134	150
216	1687	678	694
217	948	964	983
218	258	275	293
219	841	857	875
220	168	184	202
221	215	231	248
222	162	178	196
223	309	325	342
224	48	64	83
225	207	225	242
226	246	263	281
227	363	379	395
228	204	220	238
229	25	43	60
230	621	638	656
231	41	57	75
232	859	876	894
233	1011	1030	1046
234	238	254	272
235	980	996	1012
236	741	758	774
237	294	310	326
238	968	985	1001
239	70	87	105
240	926	942	958
241	839	855	871
242	770	786	803
243	228	245	263
244	31	48	64
245	989	1006	1022
246	296	312	328
247	311	327	345
248	311	327	343
249	194	211	229
250	437	455	471
251	228	244	260
252	504	520	536
253	575	591	607
254	789	805	823
255	526	542	561
256	22	38	57
257	687	704	722
258	1006	1022	1040
259	682	700	716
260	790	809	825
261	661	679	695
262	416	432	448
263	892	908	925
264	398	414	433
265	989	1005	1021
266	191	207	225
267	877	893	911
268	711	728	746
269	549	565	583
270	464	480	496
271	90	106	124
272	513	530	548
273	977	993	1009
274	391	407	423
275	892	908	925
276	626	642	660
277	486	503	521
278	46	62	80
279	658	674	690
280	337	353	369
281	973	989	1005
282	603	619	635
283	228	247	263
284	132	149	167
285	902	918	936
286	552	568	585
287	393	410	426
288	963	981	998
289	890	906	923
290	802	818	835
291	78	94	112
292	691	707	725
293	626	642	658
294	220	237	253
295	973	991	1007
296	189	207	223
297	72	89	105
298	232	248	266
299	808	824	842
300	517	533	551
301	684	700	718
302	408	424	440
303	340	358	375
304	929	945	961
305	129	145	161
306	177	193	211
307	177	193	210
308	431	447	465
309	162	179	195
310	1015	1032	1048
311	583	599	615
312	886	903	921
313	603	619	636
314	779	795	811
315	937	955	971
316	653	670	686
317	354	370	386
318	24	40	56
319	648	664	683
320	98	114	131
321	373	389	407
322	425	441	457
323	837	854	870
324	538	554	572
325	78	94	110
326	143	161	178
327	463	479	495
328	619	636	652
329	573	589	605
330	344	360	378
331	796	812	830
332	140	156	172
333	480	496	514
334	605	621	637
335	185	202	218
336	931	948	966
337	924	940	956
338	307	323	339
339	605	621	638
340	93	109	126
341	549	565	583
342	498	515	533
343	21	38	54
344	837	854	870
345	677	693	709
346	331	349	365
347	352	368	386
348	699	715	731
349	795	811	829
350	699	715	733
351	555	573	589
352	798	814	832
353	170	188	204
354	434	451	469
355	130	146	163
356	231	248	264
357	901	917	933
358	481	498	516
359	502	518	537
360	266	282	298
361	725	741	757
362	166	182	199
363	909	925	943
364	1009	1026	1042
365	475	493	510
366	565	582	598
367	869	886	902
368	374	390	408
369	20	36	52
370	518	534	553
371	378	394	412
372	674	690	708
373	982	1000	1016
374	401	417	435
375	151	167	184
376	155	171	188
377	213	229	247
378	1018	1034	4
379	710	726	743
380	168	184	202
381	149	165	183
382	732	748	766
383	140	156	172
384	789	805	823
385	35	51	68
386	548	565	583
387	453	469	485
388	11	29	45
389	213	229	247
390	723	739	755
391	166	182	199
392	461	477	493
393	374	390	409
394	693	709	726
395	298	314	332
396	211	228	244
397	622	638	654
398	641	657	675
399	485	501	517
400	740	756	773
401	601	619	635
402	341	359	375
403	869	886	902
404	922	940	956
405	614	631	647
406	207	224	240
407	1000	1016	1034
408	262	278	296
409	273	289	306
410	744	762	778
411	867	883	902
412	246	263	281
413	466	483	499
414	912	929	947
415	279	295	313
416	881	897	915
417	921	938	954
418	301	317	333
419	809	826	844
420	761	777	793
421	834	850	868
422	756	774	791
423	793	809	827
424	305	321	339
425	320	336	352
426	1013	1031	1048
427	331	347	365
428	817	833	850
429	350	368	384
430	629	645	661
431	777	794	810
432	148	166	182
433	481	497	513
434	526	543	559
435	220	237	255
436	903	921	937
437	582	599	615
438	942	958	975
439	405	421	439
440	103	119	135
441	526	544	560
442	123	140	158
443	96	113	131
444	794	810	828
445	916	932	950
446	287	303	319
447	416	432	450
448	965	981	997
449	530	548	564
450	93	109	125
451	245	261	277
452	867	884	900
453	577	593	609
454	620	636	653
455	181	198	214
456	80	96	115
457	729	747	765
458	380	397	415
459	479	495	512
460	745	762	778
461	247	263	283
462	595	612	630
463	702	718	737
464	57	73	89
465	308	325	343
466	164	182	198
467	948	964	983
468	309	325	343
469	597	613	629
470	278	294	311
471	475	493	510
472	273	290	306
473	808	824	840
474	826	843	861
475	245	261	277
476	537	553	570
477	888	904	920
478	264	280	296
479	325	341	358
480	1012	1030	1046
481	839	856	872
482	772	788	806
483	392	408	424
484	127	143	159
485	279	297	313
486	700	718	735
487	692	708	726
488	999	1015	1031
489	401	417	433
490	380	396	412
491	874	891	907
492	997	1013	1030
493	791	809	825
494	719	737	753
495	699	715	731
496	834	850	866
497	821	839	855
498	790	806	824
499	301	317	336
500	782	798	816
501	856	873	889
502	611	627	645
503	1027	7	23
504	644	660	676
505	648	664	680
506	971	987	1003
507	1012	1030	1048
508	129	145	161
509	198	214	230
510	569	585	602
511	265	281	298
512	215	233	249
513	207	223	241
514	873	891	907
515	278	295	313
516	657	673	691
517	134	150	167
518	719	737	753
519	644	662	678
520	883	899	915
521	230	246	262
522	399	415	431
523	751	769	786
524	99	115	131
525	530	546	565
526	788	805	823
527	9	25	41
528	937	955	971
529	639	655	671
530	50	66	84
531	458	474	493
532	879	895	911
533	232	248	265
534	843	859	875
535	344	360	377
536	265	282	298
537	378	395	413
538	284	300	317
539	596	612	630
540	843	860	876
541	286	303	321
542	279	295	311
543	516	533	549
544	175	191	209
545	596	614	630
546	1002	1018	1035
547	26	44	60
548	311	329	345
549	5	23	39
550	121	137	153
551	442	460	476
552	721	737	756
553	781	800	816
554	862	878	894
555	421	439	456
556	181	197	213
557	43	59	75
558	967	983	999
559	415	432	448
560	254	270	287
561	97	113	129
562	1027	4	23
563	122	138	154
564	517	533	551
565	852	869	885
566	106	122	140
567	933	949	966
568	131	147	165
569	470	486	502
570	174	190	208
571	391	407	424
572	758	774	791
573	877	893	911
574	517	533	549
575	957	973	990
576	975	991	1007
577	620	637	653
578	185	201	217
579	487	503	519
580	104	120	137
581	146	162	180
582	752	768	784
583	305	321	338
584	995	1011	1027
585	305	323	339
586	329	346	364
587	123	139	155
588	680	696	714
589	654	670	686
590	818	835	851
591	569	586	604
592	414	430	448
593	852	869	887
594	69	87	103
595	494	510	526
596	499	516	534
597	196	212	228
598	927	945	961
599	168	184	200
600	228	246	263
601	811	827	846
602	125	141	158
603	343	359	375
604	48	64	81
605	581	597	615
606	117	135	151
607	398	414	433
608	939	955	973
609	67	83	99
610	592	608	624
611	290	306	322
612	311	327	343
613	708	726	742
614	104	120	138
615	448	464	480
616	748	764	782
617	540	558	574
618	39	55	77
619	127	143	165
620	48	64	82
621	714	732	754
622	136	152	168
623	710	726	742
624	125	141	157
625	967	983	1002
626	74	96	112
627	793	809	825
628	152	168	186
629	261	278	294
630	447	463	481
631	982	1000	1016
632	314	330	348
633	601	617	633
634	485	503	521
635	657	675	691
636	633	651	668
637	874	891	909
638	508	524	542
639	33	49	65
640	911	927	943
641	691	707	725
642	980	996	1013
643	80	98	115
644	895	912	930
645	412	428	446
646	343	359	375
647	426	443	461
648	41	59	75
649	407	423	439
650	980	996	1014
651	918	935	951
652	194	212	229
653	702	718	735
654	1014	1032	1048
655	74	90	108
656	671	687	705
657	856	872	890
658	391	409	425
659	447	464	482
660	471	488	506
661	528	544	561
662	324	340	356
663	510	526	542
664	239	256	272
665	73	89	105
666	48	64	80
667	871	887	904
668	522	538	554
669	434	450	469
670	858	876	892
671	683	700	716
672	605	621	638
673	594	610	626
674	89	105	123
675	75	93	109
676	646	662	680
677	727	743	761
678	443	460	476
679	738	754	771
680	179	195	214
681	455	471	489
682	569	585	601
683	100	117	133
684	129	145	163
685	91	107	125
686	648	664	680
687	677	693	709
688	864	880	896
689	384	400	416
690	448	464	482
691	129	145	161
692	847	863	879
693	200	216	234
694	420	436	454
695	500	516	533
696	44	60	76
697	627	645	661
698	160	176	194
699	678	694	710
700	753	770	788
701	290	306	322
702	584	600	617
703	584	603	619
704	686	702	718
705	950	966	985
706	1019	1037	7
707	606	623	639
708	824	841	857
709	243	259	275
710	200	216	233
711	678	694	712
712	1029	9	25
713	912	928	947
714	569	585	601
715	311	327	345
716	768	784	802
717	545	563	579
718	855	873	889
719	241	257	274
720	228	244	261
721	884	900	916
722	894	910	928
723	105	121	139
724	118	134	152
725	700	716	735
726	470	486	504
727	636	653	669
728	996	1013	1031
729	149	165	181
730	335	351	369
731	19	38	54
732	101	117	133
733	631	647	663
734	299	315	333
735	406	423	439
736	664	681	697
737	1022	1039	9
738	463	479	501
739	214	231	247
740	319	336	354
741	845	861	877
742	33	50	68
743	827	843	861
744	502	518	535
745	187	203	219
746	745	761	778
747	458	475	493
748	233	250	266
749	489	505	522
750	541	557	575
751	792	808	827
752	637	653	669
753	861	878	894
754	800	816	832
755	290	306	324
756	686	702	720
757	175	192	208
758	871	887	903
759	922	938	956
760	193	209	225
761	625	641	658
762	963	980	996
763	1002	1020	1036
764	425	441	460
765	241	257	273
766	93	109	127
767	74	92	108
768	476	492	508
769	554	570	587
770	952	968	985
771	138	156	172
772	36	53	71
773	974	992	1009
774	663	680	696
775	104	121	137
776	544	561	577
777	680	696	712
778	834	850	868
779	416	434	450
780	309	325	343
781	26	42	58
782	250	266	284
783	24	40	58
784	76	93	111
785	163	179	197
786	639	655	673
787	519	535	553
788	560	576	594
789	986	1002	1020
790	376	393	409
791	399	415	432
792	445	461	478
793	764	780	796
794	316	333	349
795	695	712	728
796	67	83	101
797	867	883	899
798	918	935	953
799	108	126	142
800	821	837	855
801	813	829	847
802	155	171	189
803	89	105	122
804	569	585	603
805	773	790	806
806	923	939	956
807	817	833	850
808	475	491	508
809	802	818	836
810	292	308	324
811	85	101	118
812	526	542	559
813	35	51	69
814	1014	1030	1046
815	487	503	521
816	157	175	191
817	286	302	318
818	410	426	444
819	123	139	156
820	320	336	353
821	123	139	155
822	687	704	722
823	822	841	857
824	179	195	212
825	950	966	982
826	990	1006	1022
827	924	940	956
828	545	562	578
829	860	878	894
830	724	741	759
831	470	486	503
832	82	100	116
833	451	468	486
834	695	711	729
835	918	934	952
836	69	85	103
837	549	565	583
838	502	520	536
839	775	792	810
840	464	481	497
841	431	447	465
842	202	218	236
843	562	578	594
844	453	471	487
845	583	599	615
846	410	426	442
847	395	411	428
848	269	286	304
849	1017	1033	5
850	453	469	486
851	112	128	146
852	1021	1037	5
853	515	532	548
854	307	323	341
855	539	555	573
856	86	104	120
857	521	537	553
858	485	501	519
859	421	437	454
860	117	134	152
861	965	981	997
862	605	621	637
863	7	25	41
864	44	61	77
865	807	823	841
866	18	34	51
867	980	997	1015
868	42	58	75
869	417	434	450
870	1006	1022	1038
871	243	259	277
872	176	194	210
873	541	558	576
874	17	33	49
875	704	721	737
876	641	657	675
877	155	172	190
878	187	205	221
879	1019	1035	5
880	732	748	767
881	948	965	981
882	666	683	699
883	933	951	968
884	496	513	529
885	44	62	79
886	539	555	571
887	802	818	834
888	200	216	232
889	64	81	99
890	624	640	656
891	565	583	600
892	783	799	817
893	320	336	354
894	706	722	738
895	982	998	1014
896	132	149	167
897	110	128	145
898	689	706	722
899	1016	1032	1048
900	779	795	811
901	854	870	888
902	871	888	906
903	588	604	622
904	586	602	618
905	665	681	697
906	561	580	596
907	847	863	880
908	314	330	346
909	192	208	224
910	401	419	435
911	501	518	534
912	719	735	751
913	50	66	82
914	129	145	163
915	386	402	420
916	98	114	133
917	153	169	185
918	63	79	95
919	23	39	56
920	523	541	557
921	649	668	684
922	522	538	554
923	42	58	75
924	301	317	334
925	273	289	307
926	860	878	895
927	794	812	828
928	1012	1028	1044
929	931	947	964
930	234	250	268
931	37	53	69
932	845	861	879
933	344	361	377
934	901	919	936
935	864	880	896
936	854	870	886
937	884	903	919
938	581	597	615
939	1029	8	26
940	363	379	397
941	82	98	114
942	755	772	788
943	933	949	967
944	280	297	315
945	121	138	154
946	683	699	716
947	566	582	600
948	575	592	608
949	949	966	982
950	860	878	894
951	325	341	358
952	715	731	748
953	159	175	191
954	193	209	227
955	108	124	141
956	587	603	621
957	1017	1033	5
958	528	544	560
959	415	432	448
960	290	306	324
961	982	1000	1016
962	247	263	279
963	440	456	472
964	251	267	283
965	794	811	827
966	629	647	663
967	253	269	285
968	412	428	447
969	200	218	235
970	341	357	373
971	720	736	754
972	853	869	887
973	496	512	529
974	330	346	364
975	700	716	735
976	616	632	650
977	189	205	223
978	325	341	360
979	1016	1034	1050
980	359	377	393
981	434	450	466
982	953	970	986
983	753	769	785
984	455	471	487
985	708	724	740
986	549	565	582
987	243	259	275
988	723	739	757
989	967	983	1000
990	451	467	483
991	850	867	883
992	67	83	100
993	589	606	622
994	298	316	332
995	368	385	401
996	25	42	58
997	672	688	707
998	285	301	317
999	468	484	502

